n0005_m01_p025__000.inst -> Ticks: 0.51 | Time: 0 | BnB nodes: 0
n0005_m01_p025__001.inst -> Ticks: 0.46 | Time: 0 | BnB nodes: 0
n0005_m01_p025__002.inst -> Ticks: 0.34 | Time: 0.015 | BnB nodes: 0
n0005_m01_p025__003.inst -> Ticks: 0.38 | Time: 0.015 | BnB nodes: 0
n0005_m01_p025__004.inst -> Ticks: 0.76 | Time: 0 | BnB nodes: 0
n0005_m01_p050__000.inst -> Ticks: 0.57 | Time: 0.015 | BnB nodes: 0
n0005_m01_p050__001.inst -> Ticks: 0.52 | Time: 0 | BnB nodes: 0
n0005_m01_p050__002.inst -> Ticks: 0.68 | Time: 0 | BnB nodes: 0
n0005_m01_p050__003.inst -> Ticks: 0.82 | Time: 0.015 | BnB nodes: 0
n0005_m01_p050__004.inst -> Ticks: 0.41 | Time: 0 | BnB nodes: 0
n0005_m01_p075__000.inst -> Ticks: 0.86 | Time: 0.015 | BnB nodes: 0
n0005_m01_p075__001.inst -> Ticks: 0.71 | Time: 0 | BnB nodes: 0
n0005_m01_p075__002.inst -> Ticks: 0.35 | Time: 0 | BnB nodes: 0
n0005_m01_p075__003.inst -> Ticks: 0.67 | Time: 0 | BnB nodes: 0
n0005_m01_p075__004.inst -> Ticks: 0.53 | Time: 0 | BnB nodes: 0
n0005_m01_p090__000.inst -> Ticks: 0.63 | Time: 0 | BnB nodes: 0
n0005_m01_p090__001.inst -> Ticks: 0.64 | Time: 0 | BnB nodes: 0
n0005_m01_p090__002.inst -> Ticks: 0.72 | Time: 0 | BnB nodes: 0
n0005_m01_p090__003.inst -> Ticks: 0.6 | Time: 0 | BnB nodes: 0
n0005_m01_p090__004.inst -> Ticks: 0.93 | Time: 0 | BnB nodes: 0
n0005_m02_p025__000.inst -> Ticks: 6.22 | Time: 0.016 | BnB nodes: 0
n0005_m02_p025__001.inst -> Ticks: 13.81 | Time: 0.031 | BnB nodes: 49
n0005_m02_p025__002.inst -> Ticks: 12.42 | Time: 0.031 | BnB nodes: 8
n0005_m02_p025__003.inst -> Ticks: 2.48 | Time: 0 | BnB nodes: 0
n0005_m02_p025__004.inst -> Ticks: 4.64 | Time: 0 | BnB nodes: 0
n0005_m02_p050__000.inst -> Ticks: 3.16 | Time: 0 | BnB nodes: 0
n0005_m02_p050__001.inst -> Ticks: 29.19 | Time: 0.062 | BnB nodes: 26
n0005_m02_p050__002.inst -> Ticks: 9.65 | Time: 0.015 | BnB nodes: 0
n0005_m02_p050__003.inst -> Ticks: 22.59 | Time: 0.046 | BnB nodes: 9
n0005_m02_p050__004.inst -> Ticks: 4.88 | Time: 0 | BnB nodes: 0
n0005_m02_p075__000.inst -> Ticks: 9.58 | Time: 0.031 | BnB nodes: 0
n0005_m02_p075__001.inst -> Ticks: 16.4 | Time: 0.031 | BnB nodes: 23
n0005_m02_p075__002.inst -> Ticks: 41.04 | Time: 0.078 | BnB nodes: 0
n0005_m02_p075__003.inst -> Ticks: 4.05 | Time: 0 | BnB nodes: 7
n0005_m02_p075__004.inst -> Ticks: 26.02 | Time: 0.046 | BnB nodes: 11
n0005_m02_p090__000.inst -> Ticks: 34.08 | Time: 0.062 | BnB nodes: 14
n0005_m02_p090__001.inst -> Ticks: 15.76 | Time: 0.015 | BnB nodes: 19
n0005_m02_p090__002.inst -> Ticks: 63.11 | Time: 0.093 | BnB nodes: 31
n0005_m02_p090__003.inst -> Ticks: 32.39 | Time: 0.062 | BnB nodes: 9
n0005_m02_p090__004.inst -> Ticks: 4.93 | Time: 0 | BnB nodes: 0
n0005_m03_p025__000.inst -> Ticks: 2.56 | Time: 0.015 | BnB nodes: 0
n0005_m03_p025__001.inst -> Ticks: 8.61 | Time: 0.031 | BnB nodes: 16
n0005_m03_p025__002.inst -> Ticks: 50.6 | Time: 0.046 | BnB nodes: 102
n0005_m03_p025__003.inst -> Ticks: 125.54 | Time: 0.156 | BnB nodes: 545
n0005_m03_p025__004.inst -> Ticks: 71.18 | Time: 0.078 | BnB nodes: 73
n0005_m03_p050__000.inst -> Ticks: 91.56 | Time: 0.125 | BnB nodes: 117
n0005_m03_p050__001.inst -> Ticks: 6.69 | Time: 0.015 | BnB nodes: 0
n0005_m03_p050__002.inst -> Ticks: 66.01 | Time: 0.078 | BnB nodes: 68
n0005_m03_p050__003.inst -> Ticks: 39.03 | Time: 0.062 | BnB nodes: 15
n0005_m03_p050__004.inst -> Ticks: 207.6 | Time: 0.203 | BnB nodes: 254
n0005_m03_p075__000.inst -> Ticks: 4.01 | Time: 0.015 | BnB nodes: 0
n0005_m03_p075__001.inst -> Ticks: 92.51 | Time: 0.093 | BnB nodes: 110
n0005_m03_p075__002.inst -> Ticks: 247.42 | Time: 0.234 | BnB nodes: 646
n0005_m03_p075__003.inst -> Ticks: 63.44 | Time: 0.093 | BnB nodes: 108
n0005_m03_p075__004.inst -> Ticks: 119.4 | Time: 0.14 | BnB nodes: 212
n0005_m03_p090__000.inst -> Ticks: 50.4 | Time: 0.063 | BnB nodes: 81
n0005_m03_p090__001.inst -> Ticks: 118.33 | Time: 0.14 | BnB nodes: 20
n0005_m03_p090__002.inst -> Ticks: 101.93 | Time: 0.125 | BnB nodes: 316
n0005_m03_p090__003.inst -> Ticks: 258.64 | Time: 0.265 | BnB nodes: 328
n0005_m03_p090__004.inst -> Ticks: 83.43 | Time: 0.125 | BnB nodes: 25
n0005_m04_p025__000.inst -> Ticks: 26.58 | Time: 0.046 | BnB nodes: 22
n0005_m04_p025__001.inst -> Ticks: 1.59 | Time: 0 | BnB nodes: 0
n0005_m04_p025__002.inst -> Ticks: 266.41 | Time: 0.265 | BnB nodes: 746
n0005_m04_p025__003.inst -> Ticks: 104.45 | Time: 0.093 | BnB nodes: 142
n0005_m04_p025__004.inst -> Ticks: 563.51 | Time: 0.468 | BnB nodes: 1062
