n0005_m01_p025__000.inst -> Ticks: 0.41 | Time: 0 | BnB nodes: 0
n0005_m01_p025__001.inst -> Ticks: 0.36 | Time: 0 | BnB nodes: 0
n0005_m01_p025__002.inst -> Ticks: 0.26 | Time: 0 | BnB nodes: 0
n0005_m01_p025__003.inst -> Ticks: 0.29 | Time: 0 | BnB nodes: 0
n0005_m01_p025__004.inst -> Ticks: 0.7 | Time: 0 | BnB nodes: 0
n0005_m01_p050__000.inst -> Ticks: 0.45 | Time: 0 | BnB nodes: 0
n0005_m01_p050__001.inst -> Ticks: 0.44 | Time: 0 | BnB nodes: 0
n0005_m01_p050__002.inst -> Ticks: 0.55 | Time: 0 | BnB nodes: 0
n0005_m01_p050__003.inst -> Ticks: 0.83 | Time: 0 | BnB nodes: 0
n0005_m01_p050__004.inst -> Ticks: 0.34 | Time: 0 | BnB nodes: 0
n0005_m01_p075__000.inst -> Ticks: 0.76 | Time: 0.015 | BnB nodes: 0
n0005_m01_p075__001.inst -> Ticks: 0.65 | Time: 0 | BnB nodes: 0
n0005_m01_p075__002.inst -> Ticks: 0.27 | Time: 0 | BnB nodes: 0
n0005_m01_p075__003.inst -> Ticks: 0.56 | Time: 0.015 | BnB nodes: 0
n0005_m01_p075__004.inst -> Ticks: 0.47 | Time: 0 | BnB nodes: 0
n0005_m01_p090__000.inst -> Ticks: 0.51 | Time: 0.015 | BnB nodes: 0
n0005_m01_p090__001.inst -> Ticks: 0.53 | Time: 0 | BnB nodes: 0
n0005_m01_p090__002.inst -> Ticks: 0.63 | Time: 0 | BnB nodes: 0
n0005_m01_p090__003.inst -> Ticks: 0.46 | Time: 0 | BnB nodes: 0
n0005_m01_p090__004.inst -> Ticks: 0.61 | Time: 0 | BnB nodes: 0
n0005_m02_p025__000.inst -> Ticks: 3.35 | Time: 0 | BnB nodes: 0
n0005_m02_p025__001.inst -> Ticks: 10.02 | Time: 0.031 | BnB nodes: 44
n0005_m02_p025__002.inst -> Ticks: 8.01 | Time: 0.031 | BnB nodes: 0
n0005_m02_p025__003.inst -> Ticks: 1.75 | Time: 0.015 | BnB nodes: 0
n0005_m02_p025__004.inst -> Ticks: 3.33 | Time: 0.016 | BnB nodes: 0
n0005_m02_p050__000.inst -> Ticks: 2.73 | Time: 0.016 | BnB nodes: 0
n0005_m02_p050__001.inst -> Ticks: 18.75 | Time: 0.031 | BnB nodes: 20
n0005_m02_p050__002.inst -> Ticks: 8.33 | Time: 0.031 | BnB nodes: 0
n0005_m02_p050__003.inst -> Ticks: 25.01 | Time: 0.031 | BnB nodes: 20
n0005_m02_p050__004.inst -> Ticks: 3.99 | Time: 0 | BnB nodes: 0
n0005_m02_p075__000.inst -> Ticks: 7.48 | Time: 0.031 | BnB nodes: 0
n0005_m02_p075__001.inst -> Ticks: 10.39 | Time: 0.015 | BnB nodes: 29
n0005_m02_p075__002.inst -> Ticks: 31.62 | Time: 0.062 | BnB nodes: 15
n0005_m02_p075__003.inst -> Ticks: 3.56 | Time: 0.031 | BnB nodes: 4
