n0005_m01__000.inst -> Ticks: 0.12 | Time: 0 | BnB nodes: 0
n0005_m01__001.inst -> Ticks: 0.25 | Time: 0 | BnB nodes: 0
n0005_m01__002.inst -> Ticks: 0.24 | Time: 0.015 | BnB nodes: 0
n0005_m01__003.inst -> Ticks: 0.21 | Time: 0.015 | BnB nodes: 0
n0005_m01__004.inst -> Ticks: 0.17 | Time: 0.015 | BnB nodes: 0
n0005_m02__000.inst -> Ticks: 9.38 | Time: 0.062 | BnB nodes: 7
n0005_m02__001.inst -> Ticks: 1.31 | Time: 0.031 | BnB nodes: 0
n0005_m02__002.inst -> Ticks: 0.54 | Time: 0 | BnB nodes: 0
n0005_m02__003.inst -> Ticks: 1.51 | Time: 0.031 | BnB nodes: 0
n0005_m02__004.inst -> Ticks: 0.93 | Time: 0 | BnB nodes: 0
n0005_m03__000.inst -> Ticks: 1.14 | Time: 0 | BnB nodes: 0
n0005_m03__001.inst -> Ticks: 1.7 | Time: 0.016 | BnB nodes: 0
n0005_m03__002.inst -> Ticks: 1.79 | Time: 0.031 | BnB nodes: 0
n0005_m03__003.inst -> Ticks: 2.88 | Time: 0.031 | BnB nodes: 0
n0005_m03__004.inst -> Ticks: 0.53 | Time: 0.016 | BnB nodes: 0
n0005_m04__000.inst -> Ticks: 2.05 | Time: 0.015 | BnB nodes: 0
n0005_m04__001.inst -> Ticks: 2.41 | Time: 0.031 | BnB nodes: 0
n0005_m04__002.inst -> Ticks: 16.24 | Time: 0.046 | BnB nodes: 0
n0005_m04__003.inst -> Ticks: 11.9 | Time: 0.046 | BnB nodes: 0
n0005_m04__004.inst -> Ticks: 2.7 | Time: 0.031 | BnB nodes: 0
n0005_m05__000.inst -> Ticks: 1.13 | Time: 0 | BnB nodes: 0
n0005_m05__001.inst -> Ticks: 16.41 | Time: 0.046 | BnB nodes: 46
n0005_m05__002.inst -> Ticks: 3.52 | Time: 0.015 | BnB nodes: 0
n0005_m05__003.inst -> Ticks: 17.42 | Time: 0.078 | BnB nodes: 0
n0005_m05__004.inst -> Ticks: 17.7 | Time: 0.046 | BnB nodes: 6
n0010_m01__000.inst -> Ticks: 2.17 | Time: 0.031 | BnB nodes: 0
n0010_m01__001.inst -> Ticks: 2.01 | Time: 0.015 | BnB nodes: 0
n0010_m01__002.inst -> Ticks: 1.55 | Time: 0 | BnB nodes: 0
n0010_m01__003.inst -> Ticks: 8.78 | Time: 0.078 | BnB nodes: 0
n0010_m01__004.inst -> Ticks: 1.46 | Time: 0.015 | BnB nodes: 0
n0010_m02__000.inst -> Ticks: 11.63 | Time: 0.062 | BnB nodes: 3
n0010_m02__001.inst -> Ticks: 80.85 | Time: 0.156 | BnB nodes: 447
n0010_m02__002.inst -> Ticks: 18.55 | Time: 0.047 | BnB nodes: 0
n0010_m02__003.inst -> Ticks: 30.64 | Time: 0.094 | BnB nodes: 99
n0010_m02__004.inst -> Ticks: 16.8 | Time: 0.015 | BnB nodes: 0
n0010_m03__000.inst -> Ticks: 32.87 | Time: 0.093 | BnB nodes: 34
n0010_m03__001.inst -> Ticks: 38.47 | Time: 0.109 | BnB nodes: 3
n0010_m03__002.inst -> Ticks: 4.0 | Time: 0.031 | BnB nodes: 0
n0010_m03__003.inst -> Ticks: 21.21 | Time: 0.078 | BnB nodes: 3
n0010_m03__004.inst -> Ticks: 11.97 | Time: 0.062 | BnB nodes: 0
n0010_m04__000.inst -> Ticks: 24.17 | Time: 0.094 | BnB nodes: 0
n0010_m04__001.inst -> Ticks: 49.35 | Time: 0.125 | BnB nodes: 26
n0010_m04__002.inst -> Ticks: 63.66 | Time: 0.109 | BnB nodes: 231
n0010_m04__003.inst -> Ticks: 66.21 | Time: 0.171 | BnB nodes: 83
n0010_m04__004.inst -> Ticks: 22.72 | Time: 0.046 | BnB nodes: 111
n0010_m05__000.inst -> Ticks: 106.77 | Time: 0.187 | BnB nodes: 35
n0010_m05__001.inst -> Ticks: 27.7 | Time: 0.156 | BnB nodes: 0
n0010_m05__002.inst -> Ticks: 5.83 | Time: 0.031 | BnB nodes: 0
n0010_m05__003.inst -> Ticks: 59.47 | Time: 0.156 | BnB nodes: 43
n0010_m05__004.inst -> Ticks: 55.18 | Time: 0.14 | BnB nodes: 0
n0015_m01__000.inst -> Ticks: 11.89 | Time: 0.046 | BnB nodes: 164
n0015_m01__001.inst -> Ticks: 8.81 | Time: 0.078 | BnB nodes: 68
n0015_m01__002.inst -> Ticks: 15.46 | Time: 0.063 | BnB nodes: 0
n0015_m01__003.inst -> Ticks: 20.14 | Time: 0.093 | BnB nodes: 119
n0015_m01__004.inst -> Ticks: 68.8 | Time: 0.156 | BnB nodes: 594
n0015_m02__000.inst -> Ticks: 135.62 | Time: 0.235 | BnB nodes: 420
