n0005_m01__000.inst -> Ticks: 0.05 | Time: 0 | BnB nodes: 0
n0005_m01__001.inst -> Ticks: 0.17 | Time: 0.015 | BnB nodes: 0
n0005_m01__002.inst -> Ticks: 0.16 | Time: 0 | BnB nodes: 0
n0005_m01__003.inst -> Ticks: 0.16 | Time: 0 | BnB nodes: 0
n0005_m01__004.inst -> Ticks: 0.12 | Time: 0.015 | BnB nodes: 0
n0005_m02__000.inst -> Ticks: 4.55 | Time: 0.016 | BnB nodes: 7
n0005_m02__001.inst -> Ticks: 0.45 | Time: 0 | BnB nodes: 0
n0005_m02__002.inst -> Ticks: 0.28 | Time: 0 | BnB nodes: 0
n0005_m02__003.inst -> Ticks: 0.68 | Time: 0 | BnB nodes: 0
n0005_m02__004.inst -> Ticks: 0.6 | Time: 0 | BnB nodes: 0
n0005_m03__000.inst -> Ticks: 0.44 | Time: 0.015 | BnB nodes: 0
n0005_m03__001.inst -> Ticks: 0.71 | Time: 0 | BnB nodes: 0
n0005_m03__002.inst -> Ticks: 0.76 | Time: 0.015 | BnB nodes: 0
n0005_m03__003.inst -> Ticks: 0.95 | Time: 0 | BnB nodes: 0
n0005_m03__004.inst -> Ticks: 0.25 | Time: 0 | BnB nodes: 0
n0005_m04__000.inst -> Ticks: 0.77 | Time: 0 | BnB nodes: 0
n0005_m04__001.inst -> Ticks: 1.35 | Time: 0 | BnB nodes: 0
n0005_m04__002.inst -> Ticks: 4.82 | Time: 0.015 | BnB nodes: 0
n0005_m04__003.inst -> Ticks: 4.63 | Time: 0.031 | BnB nodes: 0
n0005_m04__004.inst -> Ticks: 0.84 | Time: 0 | BnB nodes: 0
n0005_m05__000.inst -> Ticks: 0.54 | Time: 0.015 | BnB nodes: 0
n0005_m05__001.inst -> Ticks: 10.56 | Time: 0.031 | BnB nodes: 68
n0005_m05__002.inst -> Ticks: 0.99 | Time: 0 | BnB nodes: 0
n0005_m05__003.inst -> Ticks: 7.71 | Time: 0.031 | BnB nodes: 9
n0005_m05__004.inst -> Ticks: 10.73 | Time: 0 | BnB nodes: 14
n0010_m01__000.inst -> Ticks: 1.79 | Time: 0 | BnB nodes: 0
n0010_m01__001.inst -> Ticks: 1.68 | Time: 0.015 | BnB nodes: 0
n0010_m01__002.inst -> Ticks: 1.26 | Time: 0.015 | BnB nodes: 0
n0010_m01__003.inst -> Ticks: 4.04 | Time: 0 | BnB nodes: 0
n0010_m01__004.inst -> Ticks: 1.48 | Time: 0 | BnB nodes: 0
n0010_m02__000.inst -> Ticks: 8.94 | Time: 0 | BnB nodes: 3
n0010_m02__001.inst -> Ticks: 48.47 | Time: 0.062 | BnB nodes: 429
n0010_m02__002.inst -> Ticks: 14.47 | Time: 0.046 | BnB nodes: 35
n0010_m02__003.inst -> Ticks: 18.43 | Time: 0.031 | BnB nodes: 79
n0010_m02__004.inst -> Ticks: 16.9 | Time: 0.031 | BnB nodes: 87
n0010_m03__000.inst -> Ticks: 22.81 | Time: 0.046 | BnB nodes: 60
n0010_m03__001.inst -> Ticks: 14.19 | Time: 0.046 | BnB nodes: 0
n0010_m03__002.inst -> Ticks: 1.85 | Time: 0 | BnB nodes: 0
n0010_m03__003.inst -> Ticks: 8.48 | Time: 0 | BnB nodes: 0
n0010_m03__004.inst -> Ticks: 3.9 | Time: 0 | BnB nodes: 0
n0010_m04__000.inst -> Ticks: 10.15 | Time: 0.015 | BnB nodes: 0
n0010_m04__001.inst -> Ticks: 26.27 | Time: 0.046 | BnB nodes: 19
n0010_m04__002.inst -> Ticks: 30.27 | Time: 0.046 | BnB nodes: 198
n0010_m04__003.inst -> Ticks: 32.09 | Time: 0.046 | BnB nodes: 31
n0010_m04__004.inst -> Ticks: 11.05 | Time: 0.015 | BnB nodes: 39
n0010_m05__000.inst -> Ticks: 43.61 | Time: 0.031 | BnB nodes: 19
n0010_m05__001.inst -> Ticks: 12.01 | Time: 0.031 | BnB nodes: 0
n0010_m05__002.inst -> Ticks: 4.41 | Time: 0 | BnB nodes: 0
n0010_m05__003.inst -> Ticks: 31.76 | Time: 0.046 | BnB nodes: 30
n0010_m05__004.inst -> Ticks: 17.83 | Time: 0.031 | BnB nodes: 0
n0015_m01__000.inst -> Ticks: 8.73 | Time: 0.015 | BnB nodes: 34
n0015_m01__001.inst -> Ticks: 3.63 | Time: 0 | BnB nodes: 0
n0015_m01__002.inst -> Ticks: 14.56 | Time: 0.015 | BnB nodes: 0
n0015_m01__003.inst -> Ticks: 22.16 | Time: 0.046 | BnB nodes: 196
n0015_m01__004.inst -> Ticks: 75.68 | Time: 0.093 | BnB nodes: 523
n0015_m02__000.inst -> Ticks: 103.93 | Time: 0.109 | BnB nodes: 327
n0015_m02__001.inst -> Ticks: 20.94 | Time: 0.031 | BnB nodes: 114
n0015_m02__002.inst -> Ticks: 269.65 | Time: 0.265 | BnB nodes: 1068
n0015_m02__003.inst -> Ticks: 924.77 | Time: 0.828 | BnB nodes: 2292
n0015_m02__004.inst -> Ticks: 226.73 | Time: 0.234 | BnB nodes: 1005
n0015_m03__000.inst -> Ticks: 502.83 | Time: 0.5 | BnB nodes: 1035
n0015_m03__001.inst -> Ticks: 124.3 | Time: 0.109 | BnB nodes: 585
n0015_m03__002.inst -> Ticks: 29.5 | Time: 0.046 | BnB nodes: 99
n0015_m03__003.inst -> Ticks: 2481.39 | Time: 2 | BnB nodes: 3169
n0015_m03__004.inst -> Ticks: 17.68 | Time: 0.031 | BnB nodes: 17
n0015_m04__000.inst -> Ticks: 48.96 | Time: 0.046 | BnB nodes: 232
n0015_m04__001.inst -> Ticks: 27.07 | Time: 0.046 | BnB nodes: 0
n0015_m04__002.inst -> Ticks: 501.95 | Time: 0.484 | BnB nodes: 1439
n0015_m04__003.inst -> Ticks: 926.58 | Time: 0.828 | BnB nodes: 1833
n0015_m04__004.inst -> Ticks: 262.29 | Time: 0.218 | BnB nodes: 952
n0015_m05__000.inst -> Ticks: 1442.16 | Time: 1.328 | BnB nodes: 1854
n0015_m05__001.inst -> Ticks: 804.31 | Time: 0.796 | BnB nodes: 1863
n0015_m05__002.inst -> Ticks: 1510.29 | Time: 1.906 | BnB nodes: 1801
