-------------------------------
n0005_m03_p025__000.inst -> Ticks: 46.62 | Time: 0.031
n0005_m03_p025__001.inst -> Ticks: 230.7 | Time: 0.171
n0005_m03_p025__002.inst -> Ticks: 972.52 | Time: 0.703
n0005_m03_p025__003.inst -> Ticks: 3283.45 | Time: 2.562
n0005_m03_p025__004.inst -> Ticks: 987.09 | Time: 0.64
n0005_m03_p050__000.inst -> Ticks: 2045.1 | Time: 1.453
n0005_m03_p050__001.inst -> Ticks: 57.06 | Time: 0.046
n0005_m03_p050__002.inst -> Ticks: 789.9 | Time: 0.546
n0005_m03_p050__003.inst -> Ticks: 384.39 | Time: 0.265
n0005_m03_p050__004.inst -> Ticks: 3174.4 | Time: 2.297
n0005_m04_p025__000.inst -> Ticks: 512.53 | Time: 0.296
n0005_m04_p025__001.inst -> Ticks: 130.3 | Time: 0.14
n0005_m04_p025__002.inst -> Ticks: 6429.74 | Time: 4.984
n0005_m04_p025__003.inst -> Ticks: 1099.26 | Time: 0.75
n0005_m04_p025__004.inst -> Ticks: 8634.68 | Time: 6.812
n0005_m04_p050__000.inst -> Ticks: 880.18 | Time: 0.781
n0005_m04_p050__001.inst -> Ticks: 12856.9 | Time: 10.937
n0005_m04_p050__002.inst -> Ticks: 2649.57 | Time: 2.281
n0005_m04_p050__003.inst -> Ticks: 193884.77 | Time: 153.375
n0005_m04_p050__004.inst -> Ticks: 57938.17 | Time: 41.875
n0010_m03_p025__000.inst -> Ticks: 18217.07 | Time: 12.562
n0010_m03_p025__001.inst -> Ticks: 10225.53 | Time: 7.187
n0010_m03_p025__002.inst -> Ticks: 260082.68 | Time: 171.812
n0010_m03_p025__003.inst -> Ticks: 882.59 | Time: 0.75
n0010_m03_p025__004.inst -> Ticks: 107457.08 | Time: 73.141
n0010_m03_p050__000.inst -> Ticks: 1944862.64 | Time: 1417.16
n0010_m03_p050__001.inst -> Ticks: 934872.83 | Time: 665.203
