n0005_m03_p025__000.inst -> Ticks: 42.34 | Time: 0.046
n0005_m03_p025__001.inst -> Ticks: 175.4 | Time: 0.125
n0005_m03_p025__002.inst -> Ticks: 1208.57 | Time: 0.89
n0005_m03_p025__003.inst -> Ticks: 3819.65 | Time: 2.906
n0005_m03_p025__004.inst -> Ticks: 413.39 | Time: 0.296
n0005_m03_p050__000.inst -> Ticks: 3984.87 | Time: 2.796
n0005_m03_p050__001.inst -> Ticks: 57.33 | Time: 0.062
n0005_m03_p050__002.inst -> Ticks: 869.99 | Time: 0.64
n0005_m03_p050__003.inst -> Ticks: 725.76 | Time: 0.468
n0005_m03_p050__004.inst -> Ticks: 2651.72 | Time: 1.843
n0005_m04_p025__000.inst -> Ticks: 273.62 | Time: 0.218
n0005_m04_p025__001.inst -> Ticks: 98.17 | Time: 0.093
n0005_m04_p025__002.inst -> Ticks: 5035.34 | Time: 3.656
n0005_m04_p025__003.inst -> Ticks: 1431.89 | Time: 0.984
n0005_m04_p025__004.inst -> Ticks: 5709.87 | Time: 3.781
n0005_m04_p050__000.inst -> Ticks: 1008.75 | Time: 0.687
n0005_m04_p050__001.inst -> Ticks: 13355.39 | Time: 9.047
n0005_m04_p050__002.inst -> Ticks: 2842.86 | Time: 2.312
n0005_m04_p050__003.inst -> Ticks: 276144.83 | Time: 201.219
n0005_m04_p050__004.inst -> Ticks: 86507.57 | Time: 63.687
n0010_m03_p025__000.inst -> Ticks: 15246.02 | Time: 10.203
n0010_m03_p025__001.inst -> Ticks: 18381.58 | Time: 12.797
n0010_m03_p025__002.inst -> Ticks: 257879.36 | Time: 182.578
n0010_m03_p025__003.inst -> Ticks: 2898.44 | Time: 1.984
n0010_m03_p025__004.inst -> Ticks: 146660.82 | Time: 107.296
n0010_m03_p050__000.inst -> Ticks: 1476134.4 | Time: 1051.25
n0010_m03_p050__001.inst -> Ticks: 1827461.5 | Time: 1244.25
