n0005_m01__000.inst -> Ticks: 0.05 | Time: 0
n0005_m01__001.inst -> Ticks: 0.17 | Time: 0
n0005_m01__002.inst -> Ticks: 0.16 | Time: 0
n0005_m01__003.inst -> Ticks: 0.16 | Time: 0.015
n0005_m01__004.inst -> Ticks: 0.12 | Time: 0.015
n0005_m02__000.inst -> Ticks: 4.55 | Time: 0.016
n0005_m02__001.inst -> Ticks: 0.45 | Time: 0
n0005_m02__002.inst -> Ticks: 0.28 | Time: 0
n0005_m02__003.inst -> Ticks: 0.68 | Time: 0.015
n0005_m02__004.inst -> Ticks: 0.6 | Time: 0.015
n0005_m03__000.inst -> Ticks: 0.44 | Time: 0
n0005_m03__001.inst -> Ticks: 0.71 | Time: 0.015
n0005_m03__002.inst -> Ticks: 0.76 | Time: 0.015
n0005_m03__003.inst -> Ticks: 0.95 | Time: 0
n0005_m03__004.inst -> Ticks: 0.25 | Time: 0.015
n0005_m04__000.inst -> Ticks: 0.77 | Time: 0.015
n0005_m04__001.inst -> Ticks: 1.35 | Time: 0
n0005_m04__002.inst -> Ticks: 4.82 | Time: 0.015
n0005_m04__003.inst -> Ticks: 4.63 | Time: 0.015
n0005_m04__004.inst -> Ticks: 0.84 | Time: 0
n0005_m05__000.inst -> Ticks: 0.54 | Time: 0.015
n0005_m05__001.inst -> Ticks: 10.56 | Time: 0
n0005_m05__002.inst -> Ticks: 0.99 | Time: 0.015
n0005_m05__003.inst -> Ticks: 7.71 | Time: 0
n0005_m05__004.inst -> Ticks: 10.73 | Time: 0.031
n0010_m01__000.inst -> Ticks: 1.79 | Time: 0
n0010_m01__001.inst -> Ticks: 1.68 | Time: 0
n0010_m01__002.inst -> Ticks: 1.26 | Time: 0
n0010_m01__003.inst -> Ticks: 4.04 | Time: 0.015
n0010_m01__004.inst -> Ticks: 1.48 | Time: 0.015
n0010_m02__000.inst -> Ticks: 8.94 | Time: 0.031
n0010_m02__001.inst -> Ticks: 48.47 | Time: 0.062
n0010_m02__002.inst -> Ticks: 14.47 | Time: 0.031
n0010_m02__003.inst -> Ticks: 18.43 | Time: 0.031
n0010_m02__004.inst -> Ticks: 16.9 | Time: 0.046
n0010_m03__000.inst -> Ticks: 22.81 | Time: 0.062
n0010_m03__001.inst -> Ticks: 14.19 | Time: 0.031
n0010_m03__002.inst -> Ticks: 1.85 | Time: 0
n0010_m03__003.inst -> Ticks: 8.48 | Time: 0.031
n0010_m03__004.inst -> Ticks: 3.9 | Time: 0.016
n0010_m04__000.inst -> Ticks: 10.15 | Time: 0.016
n0010_m04__001.inst -> Ticks: 26.27 | Time: 0.046
n0010_m04__002.inst -> Ticks: 30.27 | Time: 0.046
