n0020_m03__000.inst -> Ticks: 1283.16 | Time: 1.078
n0020_m03__001.inst -> Ticks: 38.14 | Time: 0.062
n0020_m03__002.inst -> Ticks: 932.07 | Time: 0.843
n0020_m03__003.inst -> Ticks: 11734.91 | Time: 9.109
n0020_m03__004.inst -> Ticks: 2705.22 | Time: 2.5
n0020_m04__000.inst -> Ticks: 1241.25 | Time: 1.156
n0020_m04__001.inst -> Ticks: 1641.23 | Time: 1.375
n0020_m04__002.inst -> Ticks: 1117.99 | Time: 0.984
n0020_m04__003.inst -> Ticks: 2038.05 | Time: 1.64
n0020_m04__004.inst -> Ticks: 804.63 | Time: 0.703
n0020_m05__000.inst -> Ticks: 1219.45 | Time: 1.031
n0020_m05__001.inst -> Ticks: 8174.33 | Time: 6.218
n0020_m05__002.inst -> Ticks: 885.61 | Time: 0.796
n0020_m05__003.inst -> Ticks: 224.48 | Time: 0.234
n0020_m05__004.inst -> Ticks: 3367.94 | Time: 2.828
n0030_m03__000.inst -> Ticks: 996556.66 | Time: 721.765
n0030_m03__001.inst -> Ticks: 21331.01 | Time: 15.109
n0030_m03__002.inst -> Ticks: 68741.08 | Time: 47.14
n0030_m03__003.inst -> Ticks: 36988.69 | Time: 30.89
n0030_m03__004.inst -> Ticks: 6412.69 | Time: 4.593
n0030_m04__000.inst -> Ticks: 7664.51 | Time: 5.156
n0030_m04__001.inst -> Ticks: 27177.87 | Time: 19.828
n0030_m04__002.inst -> Ticks: 1864.47 | Time: 1.328
n0030_m04__003.inst -> Ticks: 143277.89 | Time: 100.781
n0030_m04__004.inst -> Ticks: 19966.17 | Time: 13.843
n0030_m05__000.inst -> Ticks: 5869.0 | Time: 4.484
n0030_m05__001.inst -> Ticks: 5429.82 | Time: 3.859
n0030_m05__002.inst -> Ticks: 48847.41 | Time: 34.437
n0030_m05__003.inst -> Ticks: 17974.37 | Time: 11.906
n0030_m05__004.inst -> Ticks: 43232.67 | Time: 32.812
n0040_m03__000.inst -> Ticks: 219942.35 | Time: 149.312
n0040_m03__001.inst -> Ticks: 393167.69 | Time: 273.171
n0040_m03__002.inst -> Ticks: 7966.71 | Time: 5.609
n0040_m03__003.inst -> Ticks: 52110.33 | Time: 36.39
n0040_m03__004.inst -> Ticks: 19228.33 | Time: 13.781
n0040_m04__000.inst -> Ticks: 112900.61 | Time: 80.015
n0040_m04__001.inst -> Ticks: 302942.42 | Time: 218.5
n0040_m04__002.inst -> Ticks: 186016.12 | Time: 124.718
n0040_m04__003.inst -> Ticks: 451951.12 | Time: 310.218
n0040_m04__004.inst -> Ticks: 592461.0 | Time: 431.531
n0040_m05__000.inst -> Ticks: 269706.97 | Time: 181.906
n0040_m05__001.inst -> Ticks: 11014.27 | Time: 10.516
n0040_m05__002.inst -> Ticks: 4308.12 | Time: 3.953
n0040_m05__003.inst -> Ticks: 67095.58 | Time: 59.078
n0040_m05__004.inst -> Ticks: 157017.67 | Time: 124.437
