n0020_m03__000.inst -> Ticks: 2633.81 | Time: 2.093
n0020_m03__001.inst -> Ticks: 52.01 | Time: 0.063
n0020_m03__002.inst -> Ticks: 1814.32 | Time: 1.609
n0020_m03__003.inst -> Ticks: 10702.8 | Time: 7.781
n0020_m03__004.inst -> Ticks: 4613.91 | Time: 3.718
n0020_m04__000.inst -> Ticks: 2569.56 | Time: 2.109
n0020_m04__001.inst -> Ticks: 2042.74 | Time: 1.609
n0020_m04__002.inst -> Ticks: 516.7 | Time: 0.5
n0020_m04__003.inst -> Ticks: 2546.75 | Time: 1.859
n0020_m04__004.inst -> Ticks: 545.63 | Time: 0.484
n0020_m05__000.inst -> Ticks: 2001.39 | Time: 1.671
n0020_m05__001.inst -> Ticks: 11266.92 | Time: 8.546
n0020_m05__002.inst -> Ticks: 567.53 | Time: 0.531
n0020_m05__003.inst -> Ticks: 350.05 | Time: 0.359
n0020_m05__004.inst -> Ticks: 7504.74 | Time: 5.906
n0030_m03__000.inst -> Ticks: 285297.61 | Time: 224.39
n0030_m03__001.inst -> Ticks: 29662.69 | Time: 21.906
n0030_m03__002.inst -> Ticks: 60859.23 | Time: 42.953
n0030_m03__003.inst -> Ticks: 34727.11 | Time: 24.968
n0030_m03__004.inst -> Ticks: 5517.52 | Time: 4.187
n0030_m04__000.inst -> Ticks: 11524.64 | Time: 7.5
n0030_m04__001.inst -> Ticks: 28107.41 | Time: 19.359
n0030_m04__002.inst -> Ticks: 3671.27 | Time: 2.703
n0030_m04__003.inst -> Ticks: 262288.47 | Time: 181.515
n0030_m04__004.inst -> Ticks: 12483.72 | Time: 8.937
n0030_m05__000.inst -> Ticks: 14841.38 | Time: 10.875
n0030_m05__001.inst -> Ticks: 15916.16 | Time: 11.125
n0030_m05__002.inst -> Ticks: 67110.46 | Time: 47.438
n0030_m05__003.inst -> Ticks: 26508.71 | Time: 17.343
n0030_m05__004.inst -> Ticks: 38266.67 | Time: 25.985
n0040_m03__000.inst -> Ticks: 174567.31 | Time: 116.375
n0040_m03__001.inst -> Ticks: 9133382.51 | Time: 6447.16
n0040_m03__002.inst -> Ticks: 11140.09 | Time: 7.563
n0040_m03__003.inst -> Ticks: 43562.63 | Time: 29.718
n0040_m03__004.inst -> Ticks: 30972.93 | Time: 20.828
n0040_m04__000.inst -> Ticks: 286907.79 | Time: 191.547
n0040_m04__001.inst -> Ticks: 563652.68 | Time: 392.984
n0040_m04__002.inst -> Ticks: 91337.99 | Time: 58.578
n0040_m04__003.inst -> Ticks: 415747.92 | Time: 269.735
n0040_m04__004.inst -> Ticks: 1812093.91 | Time: 1310.8
n0040_m05__000.inst -> Ticks: 687126.14 | Time: 465.531
n0040_m05__001.inst -> Ticks: 29575.15 | Time: 20.656
n0040_m05__002.inst -> Ticks: 10985.37 | Time: 7.312
n0040_m05__003.inst -> Ticks: 16885.06 | Time: 11.89
n0040_m05__004.inst -> Ticks: 109146.76 | Time: 68.796
