n0020_m03__000.inst -> Ticks: 4847.86 | Time: 3.718
n0020_m03__001.inst -> Ticks: 101.82 | Time: 0.25
n0020_m03__002.inst -> Ticks: 1117.67 | Time: 1.093
n0020_m03__003.inst -> Ticks: 14976.62 | Time: 11.437
n0020_m03__004.inst -> Ticks: 5413.03 | Time: 4.812
n0020_m04__000.inst -> Ticks: 2638.85 | Time: 2.828
n0020_m04__001.inst -> Ticks: 4482.02 | Time: 3.625
n0020_m04__002.inst -> Ticks: 4618.33 | Time: 3.625
n0020_m04__003.inst -> Ticks: 3398.68 | Time: 2.718
n0020_m04__004.inst -> Ticks: 1050.93 | Time: 1.016
n0020_m05__000.inst -> Ticks: 3477.6 | Time: 2.828
n0020_m05__001.inst -> Ticks: 9507.88 | Time: 7.734
n0020_m05__002.inst -> Ticks: 1221.59 | Time: 1.047
n0020_m05__003.inst -> Ticks: 1667.42 | Time: 1.5
n0020_m05__004.inst -> Ticks: 13742.49 | Time: 10.968
n0030_m03__000.inst -> Ticks: 359923.98 | Time: 289.375
n0030_m03__001.inst -> Ticks: 55129.15 | Time: 42
n0030_m03__002.inst -> Ticks: 189419.04 | Time: 139.906
n0030_m03__003.inst -> Ticks: 108376.05 | Time: 83.968
n0030_m03__004.inst -> Ticks: 6849.13 | Time: 5.171
n0030_m04__000.inst -> Ticks: 16445.93 | Time: 12.39
n0030_m04__001.inst -> Ticks: 47652.75 | Time: 35.468
n0030_m04__002.inst -> Ticks: 8621.56 | Time: 6.703
n0030_m04__003.inst -> Ticks: 874290.07 | Time: 628.625
n0030_m04__004.inst -> Ticks: 54650.77 | Time: 37.89
n0030_m05__000.inst -> Ticks: 21409.85 | Time: 15.218
n0030_m05__001.inst -> Ticks: 27908.1 | Time: 20.906
n0030_m05__002.inst -> Ticks: 41697.37 | Time: 30.5
n0030_m05__003.inst -> Ticks: 53433.3 | Time: 35.968
n0030_m05__004.inst -> Ticks: 61197.3 | Time: 41.656
n0040_m03__000.inst -> Ticks: 692268.45 | Time: 465.89
n0040_m03__001.inst -> Ticks: 5699616.78 | Time: 4436.14
n0040_m03__002.inst -> Ticks: 16009.81 | Time: 11.375
n0040_m03__003.inst -> Ticks: 123885.86 | Time: 86.391
n0040_m03__004.inst -> Ticks: 157214.4 | Time: 107.406
n0040_m04__000.inst -> Ticks: 280367.35 | Time: 196.437
n0040_m04__001.inst -> Ticks: 1390202.06 | Time: 1024.86
n0040_m04__002.inst -> Ticks: 191940.84 | Time: 133.578
n0040_m04__003.inst -> Ticks: 1377923.73 | Time: 964.031
n0040_m04__004.inst -> Ticks: 2807428.79 | Time: 2457.2
n0040_m05__000.inst -> Ticks: 902214.57 | Time: 624.468
n0040_m05__001.inst -> Ticks: 61188.32 | Time: 42.671
n0040_m05__002.inst -> Ticks: 13665.51 | Time: 9.125
n0040_m05__003.inst -> Ticks: 52043.44 | Time: 35.719
n0040_m05__004.inst -> Ticks: 488659.23 | Time: 341.64
