n0030_m03__000.inst -> Ticks: 996556.66 | Time: 747.734
n0030_m03__001.inst -> Ticks: 21331.01 | Time: 17.671
n0030_m03__002.inst -> Ticks: 68741.08 | Time: 48.515
n0030_m03__003.inst -> Ticks: 36988.69 | Time: 32.203
n0030_m03__004.inst -> Ticks: 6412.69 | Time: 4.734
n0030_m04__000.inst -> Ticks: 7664.51 | Time: 5.375
n0030_m04__001.inst -> Ticks: 27177.87 | Time: 20.546
n0030_m04__002.inst -> Ticks: 1864.47 | Time: 1.453
n0030_m04__003.inst -> Ticks: 143277.89 | Time: 102.156
n0030_m04__004.inst -> Ticks: 19966.17 | Time: 14.171
n0030_m05__000.inst -> Ticks: 5869.0 | Time: 4.656
n0030_m05__001.inst -> Ticks: 5429.82 | Time: 3.937
n0030_m05__002.inst -> Ticks: 48847.41 | Time: 35.359
n0030_m05__003.inst -> Ticks: 17974.37 | Time: 12.25
n0030_m05__004.inst -> Ticks: 43232.67 | Time: 29.578
n0040_m03__000.inst -> Ticks: 219942.35 | Time: 147.078
n0040_m03__001.inst -> Ticks: 393167.69 | Time: 266.843
n0040_m03__002.inst -> Ticks: 7966.71 | Time: 5.578
n0040_m03__003.inst -> Ticks: 52110.33 | Time: 36.625
n0040_m03__004.inst -> Ticks: 19228.33 | Time: 13.796
n0040_m04__000.inst -> Ticks: 112900.61 | Time: 80.921
n0040_m04__001.inst -> Ticks: 302942.42 | Time: 214.671
n0040_m04__002.inst -> Ticks: 186016.12 | Time: 124.375
n0040_m04__003.inst -> Ticks: 451951.12 | Time: 309.234
n0040_m04__004.inst -> Ticks: 592461.0 | Time: 435.375
n0040_m05__000.inst -> Ticks: 269706.97 | Time: 181.328
n0040_m05__001.inst -> Ticks: 11014.27 | Time: 7.921
n0040_m05__002.inst -> Ticks: 4308.12 | Time: 3
n0040_m05__003.inst -> Ticks: 67095.58 | Time: 47
n0040_m05__004.inst -> Ticks: 157017.67 | Time: 107.156
n0050_m03__000.inst -> Ticks: 12515648.74 | Time: 8628.58
n0050_m03__001.inst -> Ticks: 580796.54 | Time: 389.937
n0050_m03__002.inst -> Ticks: 304379.13 | Time: 196.687
n0050_m03__003.inst -> Ticks: 1070110.47 | Time: 708.656
n0050_m03__004.inst -> Ticks: 2890518.54 | Time: 1942.44
n0050_m04__000.inst -> Ticks: 783523.48 | Time: 498.39
n0050_m04__001.inst -> Ticks: 259261.49 | Time: 177.671
n0050_m04__002.inst -> Ticks: 515377.67 | Time: 344.25
n0050_m04__003.inst -> Ticks: 530991.63 | Time: 350.781
n0050_m04__004.inst -> Ticks: 630748.14 | Time: 419.234
n0050_m05__000.inst -> Ticks: 504785.97 | Time: 342.843
n0050_m05__001.inst -> Ticks: 1559601.92 | Time: 1091.84
n0050_m05__002.inst -> Ticks: 2967083.91 | Time: 2004.98
n0050_m05__003.inst -> Ticks: 77551.66 | Time: 53.203
n0050_m05__004.inst -> Ticks: 887972.99 | Time: 596.781
n00100_m03__000.inst -> Ticks: -1 | Time: -1
n00100_m03__001.inst -> Ticks: -1 | Time: -1
n00100_m03__002.inst -> Ticks: -1 | Time: -1
n00100_m03__003.inst -> Ticks: -1 | Time: -1
n00100_m03__004.inst -> Ticks: -1 | Time: -1
n00100_m04__000.inst -> Ticks: -1 | Time: -1
n00100_m04__001.inst -> Ticks: -1 | Time: -1
n00100_m04__002.inst -> Ticks: -1 | Time: -1
n00100_m04__003.inst -> Ticks: -1 | Time: -1
n00100_m04__004.inst -> Ticks: -1 | Time: -1
n00100_m05__000.inst -> Ticks: -1 | Time: -1
n00100_m05__001.inst -> Ticks: -1 | Time: -1
n00100_m05__002.inst -> Ticks: -1 | Time: -1
n00100_m05__003.inst -> Ticks: -1 | Time: -1
n00100_m05__004.inst -> Ticks: -1 | Time: -1
-------------------------------
